Source,Target,Type,Id,Label,Weight
expressobutiolem,grams7enufi7jmdl,Directed,24076,,5
directoryvi6plzm,expressobutiolem,Directed,6387,,5
chattorci7bcgygp,w363zoq3ylux5rf5,Directed,21410,,3
facj5l7pgk6ekxgw,chattorci7bcgygp,Directed,24890,,1
syntaxeddtui6zkm,chattorci7bcgygp,Directed,24233,,3
pduvohnvbtzph6sg,chattorci7bcgygp,Directed,23583,,2
rbaco5flcou46wpd,chattorci7bcgygp,Directed,22735,,1
hiddeninasdyooih,chattorci7bcgygp,Directed,22302,,2
soupkso3la22ltl3,chattorci7bcgygp,Directed,20994,,20
hdwikicorldcisiy,chattorci7bcgygp,Directed,19859,,6
5yhkcnlhhtlztb5t,chattorci7bcgygp,Directed,19756,,5
w363zoq3ylux5rf5,chattorci7bcgygp,Directed,19185,,101
skunksworkedp2cg,chattorci7bcgygp,Directed,15226,,2
torvps7kzis5ujfz,chattorci7bcgygp,Directed,13967,,2
cratedvnn5z57xhl,chattorci7bcgygp,Directed,11524,,3
directoryvi6plzm,chattorci7bcgygp,Directed,5632,,5
auutwvpt2zktxwng,grams7enufi7jmdl,Directed,18179,,101
auutwvpt2zktxwng,blkbook3fxhcsn3u,Directed,18160,,2
auutwvpt2zktxwng,cratedvnn5z57xhl,Directed,18146,,1
auutwvpt2zktxwng,54ogum7gwxhtgiya,Directed,18138,,1
auutwvpt2zktxwng,s5eqtd3hsfgu4czz,Directed,18132,,4
auutwvpt2zktxwng,kxojy6ygju4h6lwn,Directed,18113,,2
auutwvpt2zktxwng,rupedoszuuqmn6pq,Directed,18108,,1
auutwvpt2zktxwng,5zf5yc2vwcnxgugv,Directed,18083,,1
auutwvpt2zktxwng,twittorxsun563wg,Directed,18079,,1
auutwvpt2zktxwng,braveb6iyacflzc2,Directed,18071,,1
auutwvpt2zktxwng,exoduockgfq3ikf7,Directed,18062,,2
auutwvpt2zktxwng,linkskgiymtyszdb,Directed,18051,,1
auutwvpt2zktxwng,zqktlwi4fecvo6ri,Directed,18050,,1
auutwvpt2zktxwng,pdizimmrq5mwjkun,Directed,18047,,2
auutwvpt2zktxwng,wikipediak4by6wf,Directed,18017,,1
auutwvpt2zktxwng,wikitjerrta4qgz4,Directed,18015,,2
auutwvpt2zktxwng,skunksworkedp2cg,Directed,18013,,1
auutwvpt2zktxwng,ttagroupnnowjzzx,Directed,18010,,3
ttagroupnnowjzzx,auutwvpt2zktxwng,Directed,24178,,1
besthqdirnimrgpj,auutwvpt2zktxwng,Directed,23771,,2
ucavviu7wl6azuw7,auutwvpt2zktxwng,Directed,23383,,2
rbaco5flcou46wpd,auutwvpt2zktxwng,Directed,22811,,1
linkstcm6lnro75w,auutwvpt2zktxwng,Directed,21347,,2
soupkso3la22ltl3,auutwvpt2zktxwng,Directed,20958,,20
vxzzqqdt54racf3i,auutwvpt2zktxwng,Directed,20785,,2
w363zoq3ylux5rf5,auutwvpt2zktxwng,Directed,19046,,3
skunksworkedp2cg,auutwvpt2zktxwng,Directed,15578,,2
linkskgiymtyszdb,auutwvpt2zktxwng,Directed,14548,,4
torvps7kzis5ujfz,auutwvpt2zktxwng,Directed,13966,,2
kpvz7ki2lzvnwve7,auutwvpt2zktxwng,Directed,13661,,2
cratedvnn5z57xhl,auutwvpt2zktxwng,Directed,13101,,3
telnetg42y5crrb7,auutwvpt2zktxwng,Directed,9951,,6
directoryvi6plzm,auutwvpt2zktxwng,Directed,4767,,5
kpvz7ki2lzvnwve7,torvps7kzis5ujfz,Directed,13731,,2
kpvz7ki2lzvnwve7,braveb6iyacflzc2,Directed,13718,,2
kpvz7ki2lzvnwve7,hosting6iar5zo7c,Directed,13714,,3
kpvz7ki2lzvnwve7,rupedoszuuqmn6pq,Directed,13709,,2
kpvz7ki2lzvnwve7,54ogum7gwxhtgiya,Directed,13708,,6
kpvz7ki2lzvnwve7,clockwise3rldkgu,Directed,13692,,2
kpvz7ki2lzvnwve7,support26v5pvkg6,Directed,13677,,2
kpvz7ki2lzvnwve7,grams7enufi7jmdl,Directed,13669,,2
kpvz7ki2lzvnwve7,boysopidonajtogl,Directed,13655,,2
kpvz7ki2lzvnwve7,russianyhluzsk53,Directed,13648,,2
kpvz7ki2lzvnwve7,silkkitiehdg5mug,Directed,13644,,2
kpvz7ki2lzvnwve7,skunksworkedp2cg,Directed,13640,,2
rbaco5flcou46wpd,kpvz7ki2lzvnwve7,Directed,22828,,1
